,title,author,rating,publisher,page_count,generes,language
177,The Essentials of Finance and Accounting for Nonfinancial Managers,Edward Fields,,AMACOM,320,Economics,English
178,The Red Signal: An Agatha Christie Short Story,Agatha Christie,5,HarperCollins UK,40,Detective,English
179,"Chronicle of the Unhewn Throne: (The Emperor's Blades, The Providence of Fire, The Last Mortal Bond)",Brian Staveley,4.2999999999999998,Macmillan,1728,Fiction,English
180,The Malady and Other Stories: An Andrzej Sapkowski Sampler,Andrzej Sapkowski,4.7999999999999998,Hachette UK,96,Adventure,English
181,"Financial Statements, Revised and Expanded Edition: A Step-by-Step Guide to Understanding and Creating Financial Reports",Thomas Ittelson,4,Red Wheel/Weiser,288,Economics,English
182,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.2999999999999998,Kensington Publishing Corp.,288,Mystery,English
183,The Black Box,Michael Connelly,4,Hachette UK,448,Mystery,English
184,No Mercy: The brand new novel from the Queen of Crime,Martina Cole,,Hachette UK,416,Thrillers,English
185,Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader,Brent Schlender,4.5999999999999996,Crown Business,464,Information Technology,English
186,The Malady and Other Stories: An Andrzej Sapkowski Sampler,Andrzej Sapkowski,4.7999999999999998,Hachette UK,96,Fiction,English
187,Platform: Get Noticed in a Noisy World,Michael Hyatt,4.5999999999999996,HarperCollins Leadership,288,Economics,English
188,Antiques Chop,Barbara Allan,4.5,Kensington Books,240,Mystery,English
189,Salem's Lot,Stephen King,4.4000000000000004,Hachette UK,300,Thrillers,English
190,"Chronicle of the Unhewn Throne: (The Emperor's Blades, The Providence of Fire, The Last Mortal Bond)",Brian Staveley,4.2999999999999998,Macmillan,1728,Fantasy,English
191,Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,4.7000000000000002,Pan Macmillan,112,Humor,English
192,Antiques Con,Barbara Allan,4.7999999999999998,Kensington Books,288,Detective,English
193,Homecoming (A Chloe Fine Psychological Suspense Mystery—Book 5),Blake Pierce,4.5999999999999996,Blake Pierce,250,Detective,English
194,In Dark Company: A Kate Burkholder Short Story,Linda Castillo,4.2999999999999998,Minotaur Books,60,Thrillers,English
195,The Secrets of Saving and Investing with Alvin Hall: Simple Strategies to Make Your Money Go Further,Alvin Hall,3.7000000000000002,Hachette UK,30,Investing,English
196,Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,4.5,Blake Pierce,250,Thrillers,English
197,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.2999999999999998,Kensington Publishing Corp.,288,Detective,English
198,Platform: Get Noticed in a Noisy World,Michael Hyatt,4.5999999999999996,HarperCollins Leadership,288,Business,English
199,"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,4.5,HarperCollins UK,544,Fantasy,English
200,The Essentials of Finance and Accounting for Nonfinancial Managers,Edward Fields,,AMACOM,320,Business,English
